Model,Type,Test_Accuracy,Precision,Recall,F1_Score,Train_Time_s
XGBoost,Traditional ML,0.9968104840324022,0.9968428911645628,0.9968104840324022,0.9967980776413792,3.15
CNN_BiLSTM_Attention,Deep Learning,0.9942215045440593,0.9943054021636408,0.9942215045440593,0.9942152560210812,128.1
Random Forest,Traditional ML,0.9928736337795097,0.9933986876052264,0.9928736337795097,0.9929929336219578,8.81
CNN_BiLSTM,Deep Learning,0.9920462279636475,0.9921372814388308,0.9920462279636475,0.9920498625460279,106.8
CNN_1D,Deep Learning,0.9914723819945819,0.9916011291329297,0.9914723819945819,0.9914620058372821,96.4
LSTM,Deep Learning,0.9893104506692646,0.9895267414160603,0.9893104506692646,0.9893466087683938,98.1
BiLSTM,Deep Learning,0.9875221864865947,0.9882988101452471,0.9875221864865947,0.987580592397441,107.4
Transformer_IDS,Deep Learning,0.9690656986908305,0.968938266737401,0.9690656986908305,0.9686173964790755,114.5
