Attack_Type,Precision,Recall,F1-Score,Support,Accuracy
Normal,0.9987600743955363,0.9948245949363367,0.9967884502062463,68014,0.9948245949363367
Blackhole,0.9798228346456693,0.9905472636815921,0.9851558634339436,2010,0.9905472636815921
Grayhole,0.9463992107859257,0.9859540938677629,0.9657718120805369,2919,0.9859540938677629
Flooding,0.905608755129959,1.0,0.9504666188083274,662,1.0
TDMA,0.900939985538684,0.9382530120481928,0.9192180007377352,1328,0.9382530120481928
