train_loss,train_acc,val_loss,val_acc
0.24495535440446695,0.9219673036875434,0.07416438839858716,0.9728428903834507
0.06778392700382939,0.9754635991443426,0.05039808389880099,0.9814171421285819
0.05410834551614328,0.9811372876793835,0.04415672655196481,0.98508271443598
0.049686743494435484,0.9827558118120387,0.043517112368108346,0.9844452235999107
0.04650079761264675,0.9839705903186049,0.039542869791159105,0.9857839543556561
0.04430940568775475,0.9847532901726898,0.03942741026936645,0.9863576961081184
0.04343292856128952,0.9852101602232642,0.03801060582817511,0.9873458069040257
0.04222313010767135,0.9856741135304368,0.03678700371938357,0.9872501832786154
0.041589090586862054,0.9860601510150306,0.036524792556231984,0.9877601759474708
0.041010601739378885,0.9862478573148791,0.03649382141697769,0.9878239250310776
0.041051207242775827,0.9862513989431781,0.037191787298904246,0.9873458069040257
0.04073944753842955,0.9863859808185411,0.035640044056319174,0.9880151722818985
0.04072292362169848,0.9863966057034382,0.03788263736672041,0.9870589360277946
0.03927453171990251,0.986761393418238,0.03468003569055238,0.9876008032384535
0.03958955141998906,0.9868109762144244,0.035778522994208375,0.9881745449909157
0.03913074236502338,0.9868641006389097,0.035128627981861976,0.9881107959073089
0.038720324032030705,0.9869172250633952,0.03596407253457504,0.987983297740095
0.037832198614727,0.9873315955743813,0.033875690753477676,0.9890032830778057
0.038296317630874856,0.9870588901953562,0.03443963246420204,0.9882064195327193
0.038343320368758274,0.9872501381235037,0.0337781594939789,0.9882382940745227
0.03780930384840085,0.9874555525648472,0.03467180985048177,0.9883339176999331
0.03743041413581083,0.9874590941931463,0.03234849520593087,0.9893220284958404
0.03720331716599158,0.9873811783705676,0.037784228640639156,0.986262072482708
0.03720836182551317,0.9876361756080976,0.032756813343214064,0.9893857775794473
0.03661032694409757,0.9876184674666024,0.0347948895454268,0.9873139323622223
0.036235070292781967,0.9878770063324314,0.030039407055200057,0.989991393873713
0.03579125679426392,0.9881745031095497,0.0351826779280034,0.9871226851114016
0.034719534193692066,0.9886809559563104,0.030750412336017413,0.9895451502884646
0.03488834819037305,0.9887801215486832,0.028975153619507994,0.9906288847097823
0.03423861384814613,0.9890457436711102,0.03267936908446982,0.9915851209638862
