train_loss,train_acc,val_loss,val_acc
0.2984338315708388,0.9454447576817918,0.0850002938384641,0.9735760048449303
0.07026485851497274,0.9752688095878961,0.05779373197816698,0.9775921971121665
0.054685848378674434,0.9786262732153735,0.0491529683367354,0.9803971567908711
0.04927717394837933,0.9802093810650384,0.0457348954829619,0.9816721384630096
0.04754283453594556,0.9802341724631316,0.04450043634456998,0.9822458802154719
0.04545279060869336,0.9815268667922764,0.045052468008205164,0.9808115258343161
0.04425289876820587,0.982539772485798,0.04272156016249183,0.9827877474261307
0.04320693667947703,0.9833366388530791,0.040141715779907675,0.985497083479425
0.04190897739236572,0.9841901712731446,0.04041655950707298,0.9852102126031939
0.04139425029888466,0.9844274603691794,0.03892681110731402,0.986262072482708
0.040623547625495415,0.9848737055348568,0.037863241502725374,0.9858158288974596
0.040112857594369423,0.9851216195157886,0.03802672689637212,0.9861026997736908
0.04004586018654325,0.9851216195157886,0.03762166477775196,0.9854652089376216
0.03980872068311348,0.9849622462423324,0.03877334347429887,0.9865489433589392
0.039347421091701834,0.9854793239739903,0.03779231168689979,0.986325821566315
0.03952108389204278,0.9853305755854311,0.03711610839803446,0.9864214451917254
0.03891886356744588,0.9852951593024409,0.03721331589854155,0.9862301979409046
0.0390975438106401,0.9854474493192991,0.037128421701356704,0.9849233417269627
0.03896653696178603,0.9855572397965688,0.03842602436995459,0.9859752016064769
0.03876575463645378,0.9856209891059513,0.03724481220659704,0.986262072482708
0.03872102165888413,0.9857166130700251,0.03722454219782478,0.9859114525228699
0.03842888768811905,0.9857839040077065,0.036797841639371574,0.9857520798138527
0.03857739931561023,0.985829945175594,0.03619185251387777,0.9858795779810665
0.03780030475715617,0.9862620238280752,0.03582518723024563,0.9871226851114016
0.038024352229901005,0.9861593166074034,0.035805844060590515,0.987090810569598
0.037773721570477294,0.9863470229072518,0.035546502380275076,0.9883020431581296
0.03796038842134399,0.9864461884996246,0.036445226427324985,0.9872820578204188
0.03750027866408464,0.9864603550128207,0.03531491469226249,0.9878239250310776
0.03788066686133211,0.9864922296675119,0.03476251383244571,0.9878876741146846
0.03725129846357813,0.9865807703749876,0.03527159549214445,0.9871226851114016
