train_loss,train_acc,val_loss,val_acc
0.2853352036150066,0.9497549193217073,0.07831277063507865,0.9750422337678896
0.06438905837693497,0.9772025386391647,0.052122357630596305,0.9802696586236573
0.05221819376927637,0.9794160563260564,0.04702364639361124,0.9794090459949638
0.04776691271925976,0.9807937497343778,0.044643312078508995,0.9811621457941542
0.0460290433700035,0.9808964569550497,0.043053029722703355,0.9818315111720269
0.04517818054545532,0.9813002025811387,0.042842941560131166,0.9831383673859688
0.04348392295271492,0.9822139426822876,0.041484590944086665,0.9847002199343384
0.04264474298648417,0.9835137202680304,0.041717647638042366,0.9844770981417142
0.04182681743606599,0.9841051721939679,0.03952216106245406,0.9852739616868007
0.04080938711302447,0.9844876680502628,0.03853883595853788,0.9857839543556561
0.04094501939282792,0.9840555893977815,0.038617720432821516,0.9857202052720492
0.04012186412413576,0.9847107906331015,0.03740801191525548,0.9862301979409046
0.03971057532219797,0.9848807887914548,0.03695990821216084,0.9864533197335288
0.039552234280695875,0.9849657878706314,0.037488659883521624,0.9862939470245116
0.0391537608421085,0.9850791199762002,0.03781230848072284,0.9866764415261531
0.039265051762466405,0.9851003697459945,0.03749459575678474,0.9858477034392631
0.0390674626724731,0.9851959937100682,0.03718371254688556,0.9861664488572977
0.03870138510489383,0.9855926560795591,0.03665104072165893,0.9864533197335288
0.03842718381417316,0.9855182818852796,0.03751921035909594,0.9858158288974596
0.03860326203481848,0.9854155746646078,0.035772127702039504,0.9864533197335288
0.03850562505525455,0.9854014081514116,0.037040610694843074,0.9858477034392631
0.03836412422153064,0.9852207851081614,0.03745807213022727,0.9858795779810665
0.038355696796767175,0.9853447420986272,0.03655748049872042,0.9857839543556561
0.0381240410377103,0.9853482837269263,0.03617461156912823,0.9874414305294361
0.03814150881251308,0.985436824434402,0.0362066319489283,0.9860708252318873
0.03825284862054445,0.9853199507005341,0.0360187401277446,0.98674019060976
0.036790619894482623,0.9861239003244131,0.03514408355692357,0.9861345743154942
0.03695415636645755,0.9859574437943589,0.03585857392215688,0.9868039396933669
0.03693133624958921,0.9859149442547706,0.035638066394776374,0.9864533197335288
0.03693841072065249,0.985960985422658,0.03519753953305721,0.9873458069040257
