Strategy,Accuracy,Macro_F1,Weighted_F1
Baseline RF,0.9969305913282532,0.9801706927240778,0.9969228198659077
Class Weighted RF,0.9969305913282532,0.9801706927240778,0.9969228198659077
Cost-Sensitive RF,0.9969839723486315,0.9804084955363784,0.996975918392258
