model_name,train_accuracy,test_accuracy,train_time_seconds,total_inference_time_seconds,inference_per_sample_ms,total_parameters,hidden_layers,n_iterations,loss,efficiency_score
Tiny-NN (1 layer),0.9884528639299631,0.9879225441394313,40.1984007358551,0.17576217651367188,0.0023455910815484747,773,"(32,)",47,0.03736005877366279,544867.746341354
Small-NN (2 layers),0.9958996156515241,0.9955159942882308,145.0390796661377,0.1423015594482422,0.0018990506111892249,3461,"(64, 32)",51,0.019224659013993048,151464.23770622592
Medium-NN (3 layers),0.9967103507179843,0.9961832570429584,1076.5482249259949,0.5525407791137695,0.007373797647415285,12933,"(128, 64, 32)",61,0.016553153176545942,10445.969300836809
