Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,CV_Mean,CV_Std,Status
XGBoost (Fast),0.9976030268161374,0.9969039008180641,0.9969342168510766,0.9969039008180641,0.9968917010903549,0.9965798514028622,0.00012930203226802067,✓ GOOD FIT
Hybrid Ensemble,0.9992700706660844,0.9964234716346603,0.9964966600025605,0.9964234716346603,0.9964250870261149,0.9964234716346603,0.0,✓ GOOD FIT
Extra Trees,0.999435818811777,0.9963967811244712,0.9964548672912106,0.9963967811244712,0.9963967980711457,0.995993358106474,0.0002889075276164708,✓ GOOD FIT
Random Forest (Optimized),0.9982309572911653,0.996076495002202,0.996163736953027,0.996076495002202,0.9960817965386957,0.995754297010943,0.00013880703704169975,✓ GOOD FIT
MLP Neural Network,0.9958276091786223,0.9959697329614455,0.9960379011363268,0.9959697329614455,0.9959610387323006,0.9951773657722951,0.00016022070512100518,✓ GOOD FIT
AdaBoost,0.978105307446873,0.9787943896547583,0.9790415756251428,0.9787943896547583,0.9787746078015124,0.9783826195055223,0.0006172076158247672,✓ GOOD FIT
